Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Length,TCP_Flags
2026-06-13 17:53:39.079552,192.168.1.107,192.168.1.107,59986,143,TCP,48,S
2026-06-13 17:53:39.081718,192.168.1.107,192.168.1.107,143,59986,TCP,44,RA
2026-06-13 17:53:39.083124,192.168.1.107,192.168.1.107,59986,445,TCP,48,S
2026-06-13 17:53:39.084103,192.168.1.107,192.168.1.107,445,59986,TCP,44,RA
2026-06-13 17:53:39.084972,192.168.1.107,192.168.1.107,59986,111,TCP,48,S
2026-06-13 17:53:39.085914,192.168.1.107,192.168.1.107,111,59986,TCP,44,RA
2026-06-13 17:53:39.087669,192.168.1.107,192.168.1.107,59986,23,TCP,48,S
2026-06-13 17:53:39.088755,192.168.1.107,192.168.1.107,23,59986,TCP,44,RA
2026-06-13 17:53:39.089446,192.168.1.107,192.168.1.107,59986,199,TCP,48,S
2026-06-13 17:53:39.089956,192.168.1.107,192.168.1.107,199,59986,TCP,44,RA
2026-06-13 17:53:39.090436,192.168.1.107,192.168.1.107,59986,25,TCP,48,S
2026-06-13 17:53:39.090903,192.168.1.107,192.168.1.107,25,59986,TCP,44,RA
2026-06-13 17:53:39.091644,192.168.1.107,192.168.1.107,59986,443,TCP,48,S
2026-06-13 17:53:39.092258,192.168.1.107,192.168.1.107,443,59986,TCP,44,RA
2026-06-13 17:53:39.093002,192.168.1.107,192.168.1.107,59986,995,TCP,48,S
2026-06-13 17:53:39.093485,192.168.1.107,192.168.1.107,995,59986,TCP,44,RA
2026-06-13 17:53:39.094190,192.168.1.107,192.168.1.107,59986,139,TCP,48,S
2026-06-13 17:53:39.095546,192.168.1.107,192.168.1.107,139,59986,TCP,44,RA
2026-06-13 17:53:39.096800,192.168.1.107,192.168.1.107,59986,135,TCP,48,S
2026-06-13 17:53:39.098070,192.168.1.107,192.168.1.107,135,59986,TCP,44,RA
2026-06-13 17:53:39.098702,192.168.1.107,192.168.1.107,59986,256,TCP,48,S
2026-06-13 17:53:39.099261,192.168.1.107,192.168.1.107,256,59986,TCP,44,RA
2026-06-13 17:53:39.099761,192.168.1.107,192.168.1.107,59986,587,TCP,48,S
2026-06-13 17:53:39.100251,192.168.1.107,192.168.1.107,587,59986,TCP,44,RA
2026-06-13 17:53:39.100711,192.168.1.107,192.168.1.107,59986,554,TCP,48,S
2026-06-13 17:53:39.101388,192.168.1.107,192.168.1.107,554,59986,TCP,44,RA
2026-06-13 17:53:39.102120,192.168.1.107,192.168.1.107,59986,113,TCP,48,S
2026-06-13 17:53:39.103067,192.168.1.107,192.168.1.107,113,59986,TCP,44,RA
2026-06-13 17:53:39.104158,192.168.1.107,192.168.1.107,59986,53,TCP,48,S
2026-06-13 17:53:39.104657,192.168.1.107,192.168.1.107,53,59986,TCP,44,RA
2026-06-13 17:53:39.105206,192.168.1.107,192.168.1.107,59986,110,TCP,48,S
2026-06-13 17:53:39.105641,192.168.1.107,192.168.1.107,110,59986,TCP,44,RA
2026-06-13 17:53:39.106426,192.168.1.107,192.168.1.107,59986,22,TCP,48,S
2026-06-13 17:53:39.107115,192.168.1.107,192.168.1.107,22,59986,TCP,44,RA
2026-06-13 17:53:39.108220,192.168.1.107,192.168.1.107,59986,993,TCP,48,S
2026-06-13 17:53:39.109196,192.168.1.107,192.168.1.107,993,59986,TCP,44,RA
2026-06-13 17:53:39.110143,192.168.1.107,192.168.1.107,59986,21,TCP,48,S
2026-06-13 17:53:39.110678,192.168.1.107,192.168.1.107,21,59986,TCP,44,RA
2026-06-13 17:53:39.111385,192.168.1.107,192.168.1.107,59986,80,TCP,48,S
2026-06-13 17:53:39.111789,192.168.1.107,192.168.1.107,80,59986,TCP,44,RA
2026-06-13 17:53:39.112236,192.168.1.107,192.168.1.107,59986,119,TCP,48,S
2026-06-13 17:53:39.112628,192.168.1.107,192.168.1.107,119,59986,TCP,44,RA
2026-06-13 17:53:39.113012,192.168.1.107,192.168.1.107,59986,491,TCP,48,S
2026-06-13 17:53:39.113382,192.168.1.107,192.168.1.107,491,59986,TCP,44,RA
2026-06-13 17:53:39.113712,192.168.1.107,192.168.1.107,59986,344,TCP,48,S
2026-06-13 17:53:39.114045,192.168.1.107,192.168.1.107,344,59986,TCP,44,RA
2026-06-13 17:53:39.114374,192.168.1.107,192.168.1.107,59986,866,TCP,48,S
2026-06-13 17:53:39.114684,192.168.1.107,192.168.1.107,866,59986,TCP,44,RA
2026-06-13 17:53:39.114995,192.168.1.107,192.168.1.107,59986,492,TCP,48,S
2026-06-13 17:53:39.115405,192.168.1.107,192.168.1.107,492,59986,TCP,44,RA
2026-06-13 17:53:39.115824,192.168.1.107,192.168.1.107,59986,44,TCP,48,S
2026-06-13 17:53:39.116265,192.168.1.107,192.168.1.107,44,59986,TCP,44,RA
2026-06-13 17:53:39.116597,192.168.1.107,192.168.1.107,59986,78,TCP,48,S
2026-06-13 17:53:39.116909,192.168.1.107,192.168.1.107,78,59986,TCP,44,RA
2026-06-13 17:53:39.117313,192.168.1.107,192.168.1.107,59986,845,TCP,48,S
2026-06-13 17:53:39.117638,192.168.1.107,192.168.1.107,845,59986,TCP,44,RA
2026-06-13 17:53:39.117960,192.168.1.107,192.168.1.107,59986,842,TCP,48,S
2026-06-13 17:53:39.118400,192.168.1.107,192.168.1.107,842,59986,TCP,44,RA
2026-06-13 17:53:39.118763,192.168.1.107,192.168.1.107,59986,837,TCP,48,S
2026-06-13 17:53:39.119416,192.168.1.107,192.168.1.107,837,59986,TCP,44,RA
2026-06-13 17:53:39.120051,192.168.1.107,192.168.1.107,59986,162,TCP,48,S
2026-06-13 17:53:39.120538,192.168.1.107,192.168.1.107,162,59986,TCP,44,RA
2026-06-13 17:53:39.120915,192.168.1.107,192.168.1.107,59986,365,TCP,48,S
2026-06-13 17:53:39.121275,192.168.1.107,192.168.1.107,365,59986,TCP,44,RA
2026-06-13 17:53:39.121592,192.168.1.107,192.168.1.107,59986,574,TCP,48,S
2026-06-13 17:53:39.121879,192.168.1.107,192.168.1.107,574,59986,TCP,44,RA
2026-06-13 17:53:39.123182,192.168.1.107,192.168.1.107,59986,752,TCP,48,S
2026-06-13 17:53:39.123715,192.168.1.107,192.168.1.107,752,59986,TCP,44,RA
2026-06-13 17:53:39.124026,192.168.1.107,192.168.1.107,59986,384,TCP,48,S
2026-06-13 17:53:39.124311,192.168.1.107,192.168.1.107,384,59986,TCP,44,RA
2026-06-13 17:53:39.124724,192.168.1.107,192.168.1.107,59986,531,TCP,48,S
2026-06-13 17:53:39.125014,192.168.1.107,192.168.1.107,531,59986,TCP,44,RA
2026-06-13 17:53:39.125303,192.168.1.107,192.168.1.107,59986,76,TCP,48,S
2026-06-13 17:53:39.125577,192.168.1.107,192.168.1.107,76,59986,TCP,44,RA
2026-06-13 17:53:39.125853,192.168.1.107,192.168.1.107,59986,714,TCP,48,S
2026-06-13 17:53:39.126218,192.168.1.107,192.168.1.107,714,59986,TCP,44,RA
2026-06-13 17:53:39.126703,192.168.1.107,192.168.1.107,59986,277,TCP,48,S
2026-06-13 17:53:39.127383,192.168.1.107,192.168.1.107,277,59986,TCP,44,RA
2026-06-13 17:53:39.127718,192.168.1.107,192.168.1.107,59986,812,TCP,48,S
2026-06-13 17:53:39.128018,192.168.1.107,192.168.1.107,812,59986,TCP,44,RA
2026-06-13 17:53:39.128306,192.168.1.107,192.168.1.107,59986,671,TCP,48,S
2026-06-13 17:53:39.128586,192.168.1.107,192.168.1.107,671,59986,TCP,44,RA
2026-06-13 17:53:39.128867,192.168.1.107,192.168.1.107,59986,523,TCP,48,S
2026-06-13 17:53:39.129147,192.168.1.107,192.168.1.107,523,59986,TCP,44,RA
2026-06-13 17:53:39.129424,192.168.1.107,192.168.1.107,59986,486,TCP,48,S
2026-06-13 17:53:39.129692,192.168.1.107,192.168.1.107,486,59986,TCP,44,RA
2026-06-13 17:53:39.129937,192.168.1.107,192.168.1.107,59986,97,TCP,48,S
2026-06-13 17:53:39.130175,192.168.1.107,192.168.1.107,97,59986,TCP,44,RA
2026-06-13 17:53:39.130410,192.168.1.107,192.168.1.107,59986,593,TCP,48,S
2026-06-13 17:53:39.130647,192.168.1.107,192.168.1.107,593,59986,TCP,44,RA
2026-06-13 17:53:39.130886,192.168.1.107,192.168.1.107,59986,431,TCP,48,S
2026-06-13 17:53:39.131295,192.168.1.107,192.168.1.107,431,59986,TCP,44,RA
2026-06-13 17:53:39.131647,192.168.1.107,192.168.1.107,59986,754,TCP,48,S
2026-06-13 17:53:39.131932,192.168.1.107,192.168.1.107,754,59986,TCP,44,RA
2026-06-13 17:53:39.132201,192.168.1.107,192.168.1.107,59986,436,TCP,48,S
2026-06-13 17:53:39.132468,192.168.1.107,192.168.1.107,436,59986,TCP,44,RA
2026-06-13 17:53:39.132731,192.168.1.107,192.168.1.107,59986,155,TCP,48,S
2026-06-13 17:53:39.133036,192.168.1.107,192.168.1.107,155,59986,TCP,44,RA
2026-06-13 17:53:39.133395,192.168.1.107,192.168.1.107,59986,294,TCP,48,S
2026-06-13 17:53:39.133670,192.168.1.107,192.168.1.107,294,59986,TCP,44,RA
2026-06-13 17:53:39.133970,192.168.1.107,192.168.1.107,59986,560,TCP,48,S
2026-06-13 17:53:39.134225,192.168.1.107,192.168.1.107,560,59986,TCP,44,RA
2026-06-13 17:53:39.134470,192.168.1.107,192.168.1.107,59986,632,TCP,48,S
2026-06-13 17:53:39.134713,192.168.1.107,192.168.1.107,632,59986,TCP,44,RA
2026-06-13 17:53:39.134954,192.168.1.107,192.168.1.107,59986,955,TCP,48,S
2026-06-13 17:53:39.135333,192.168.1.107,192.168.1.107,955,59986,TCP,44,RA
2026-06-13 17:53:39.135605,192.168.1.107,192.168.1.107,59986,919,TCP,48,S
2026-06-13 17:53:39.135885,192.168.1.107,192.168.1.107,919,59986,TCP,44,RA
2026-06-13 17:53:39.136245,192.168.1.107,192.168.1.107,59986,838,TCP,48,S
2026-06-13 17:53:39.136583,192.168.1.107,192.168.1.107,838,59986,TCP,44,RA
2026-06-13 17:53:39.136860,192.168.1.107,192.168.1.107,59986,374,TCP,48,S
2026-06-13 17:53:39.137163,192.168.1.107,192.168.1.107,374,59986,TCP,44,RA
2026-06-13 17:53:39.137564,192.168.1.107,192.168.1.107,59986,672,TCP,48,S
2026-06-13 17:53:39.137904,192.168.1.107,192.168.1.107,672,59986,TCP,44,RA
2026-06-13 17:53:39.138229,192.168.1.107,192.168.1.107,59986,508,TCP,48,S
2026-06-13 17:53:39.138512,192.168.1.107,192.168.1.107,508,59986,TCP,44,RA
2026-06-13 17:53:39.138800,192.168.1.107,192.168.1.107,59986,86,TCP,48,S
