Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Length,TCP_Flags
2026-06-18 18:33:08.817148,127.0.0.1,127.0.0.1,1521,53051,TCP,44,A
2026-06-18 18:33:08.819216,127.0.0.1,127.0.0.1,53051,1521,TCP,56,A
2026-06-18 18:33:12.841947,192.168.1.107,192.168.1.107,38634,199,TCP,48,S
2026-06-18 18:33:12.846478,192.168.1.107,192.168.1.107,199,38634,TCP,44,RA
2026-06-18 18:33:12.848165,192.168.1.107,192.168.1.107,38634,25,TCP,48,S
2026-06-18 18:33:12.848592,192.168.1.107,192.168.1.107,25,38634,TCP,44,RA
2026-06-18 18:33:12.849002,192.168.1.107,192.168.1.107,38634,113,TCP,48,S
2026-06-18 18:33:12.849314,192.168.1.107,192.168.1.107,113,38634,TCP,44,RA
2026-06-18 18:33:12.850588,192.168.1.107,192.168.1.107,38634,587,TCP,48,S
2026-06-18 18:33:12.851385,192.168.1.107,192.168.1.107,587,38634,TCP,44,RA
2026-06-18 18:33:12.853125,192.168.1.107,192.168.1.107,38634,80,TCP,48,S
2026-06-18 18:33:12.854281,192.168.1.107,192.168.1.107,80,38634,TCP,44,RA
2026-06-18 18:33:12.854956,192.168.1.107,192.168.1.107,38634,143,TCP,48,S
2026-06-18 18:33:12.857495,192.168.1.107,192.168.1.107,143,38634,TCP,44,RA
2026-06-18 18:33:12.858770,192.168.1.107,192.168.1.107,38634,110,TCP,48,S
2026-06-18 18:33:12.859772,192.168.1.107,192.168.1.107,110,38634,TCP,44,RA
2026-06-18 18:33:12.861322,192.168.1.107,192.168.1.107,38634,256,TCP,48,S
2026-06-18 18:33:12.865968,192.168.1.107,192.168.1.107,256,38634,TCP,44,RA
2026-06-18 18:33:12.867417,192.168.1.107,192.168.1.107,38634,554,TCP,48,S
2026-06-18 18:33:12.867797,192.168.1.107,192.168.1.107,554,38634,TCP,44,RA
2026-06-18 18:33:12.868241,192.168.1.107,192.168.1.107,38634,993,TCP,48,S
2026-06-18 18:33:12.868787,192.168.1.107,192.168.1.107,993,38634,TCP,44,RA
2026-06-18 18:33:12.869475,192.168.1.107,192.168.1.107,38634,445,TCP,48,S
2026-06-18 18:33:12.869771,192.168.1.107,192.168.1.107,445,38634,TCP,44,RA
2026-06-18 18:33:12.870117,192.168.1.107,192.168.1.107,38634,53,TCP,48,S
2026-06-18 18:33:12.870511,192.168.1.107,192.168.1.107,53,38634,TCP,44,RA
2026-06-18 18:33:12.870754,192.168.1.107,192.168.1.107,38634,21,TCP,48,S
2026-06-18 18:33:12.871119,192.168.1.107,192.168.1.107,21,38634,TCP,44,RA
2026-06-18 18:33:12.871383,192.168.1.107,192.168.1.107,38634,22,TCP,48,S
2026-06-18 18:33:12.871647,192.168.1.107,192.168.1.107,22,38634,TCP,44,RA
2026-06-18 18:33:12.871861,192.168.1.107,192.168.1.107,38634,443,TCP,48,S
2026-06-18 18:33:12.872417,192.168.1.107,192.168.1.107,443,38634,TCP,44,RA
2026-06-18 18:33:12.872713,192.168.1.107,192.168.1.107,38634,995,TCP,48,S
2026-06-18 18:33:12.873509,192.168.1.107,192.168.1.107,995,38634,TCP,44,RA
2026-06-18 18:33:12.874211,192.168.1.107,192.168.1.107,38634,23,TCP,48,S
2026-06-18 18:33:12.874763,192.168.1.107,192.168.1.107,23,38634,TCP,44,RA
2026-06-18 18:33:12.875292,192.168.1.107,192.168.1.107,38634,135,TCP,48,S
2026-06-18 18:33:12.875687,192.168.1.107,192.168.1.107,135,38634,TCP,44,RA
2026-06-18 18:33:12.876212,192.168.1.107,192.168.1.107,38634,139,TCP,48,S
2026-06-18 18:33:12.876737,192.168.1.107,192.168.1.107,139,38634,TCP,44,RA
2026-06-18 18:33:12.877282,192.168.1.107,192.168.1.107,38634,111,TCP,48,S
2026-06-18 18:33:12.877611,192.168.1.107,192.168.1.107,111,38634,TCP,44,RA
2026-06-18 18:33:12.878193,192.168.1.107,192.168.1.107,38634,49,TCP,48,S
2026-06-18 18:33:12.879269,192.168.1.107,192.168.1.107,49,38634,TCP,44,RA
2026-06-18 18:33:12.881333,192.168.1.107,192.168.1.107,38634,92,TCP,48,S
2026-06-18 18:33:12.882570,192.168.1.107,192.168.1.107,92,38634,TCP,44,RA
2026-06-18 18:33:12.883735,192.168.1.107,192.168.1.107,38634,795,TCP,48,S
2026-06-18 18:33:12.884561,192.168.1.107,192.168.1.107,795,38634,TCP,44,RA
2026-06-18 18:33:12.885233,192.168.1.107,192.168.1.107,38634,614,TCP,48,S
2026-06-18 18:33:12.886060,192.168.1.107,192.168.1.107,614,38634,TCP,44,RA
2026-06-18 18:33:12.886947,192.168.1.107,192.168.1.107,38634,453,TCP,48,S
2026-06-18 18:33:12.887742,192.168.1.107,192.168.1.107,453,38634,TCP,44,RA
2026-06-18 18:33:12.888102,192.168.1.107,192.168.1.107,38634,100,TCP,48,S
2026-06-18 18:33:12.888574,192.168.1.107,192.168.1.107,100,38634,TCP,44,RA
2026-06-18 18:33:12.888881,192.168.1.107,192.168.1.107,38634,10,TCP,48,S
2026-06-18 18:33:12.889268,192.168.1.107,192.168.1.107,10,38634,TCP,44,RA
2026-06-18 18:33:12.889877,192.168.1.107,192.168.1.107,38634,81,TCP,48,S
2026-06-18 18:33:12.890939,192.168.1.107,192.168.1.107,81,38634,TCP,44,RA
2026-06-18 18:33:12.891837,192.168.1.107,192.168.1.107,38634,726,TCP,48,S
2026-06-18 18:33:12.892314,192.168.1.107,192.168.1.107,726,38634,TCP,44,RA
2026-06-18 18:33:12.893241,192.168.1.107,192.168.1.107,38634,954,TCP,48,S
